latitude,longitude,mean_predicted_rainfall,max_predicted_rainfall,mean_heavy_probability,max_heavy_probability,max_absolute_error,observations,spatial_hazard,max_ge_10,max_ge_20,max_ge_30,max_ge_40
5.0499997,84.549995,0.9761082386110349,2.2477311851206383,0.005597860766738975,0.0129773056769318,0.1054032388821508,4,Light,False,False,False,False
5.0499997,84.65,1.753514856440168,2.585907667881353,0.0080348261905026,0.0097259372672053,0.028788319590876,4,Light,False,False,False,False
5.0499997,84.75,2.153966113003399,3.264883209619839,0.007173000112715725,0.0130298658497124,0.0775740599580423,4,Light,False,False,False,False
5.0499997,84.85,1.9952698624359164,3.9144781311658727,0.006995621613931699,0.0120922334023944,0.0369264000034781,4,Light,False,False,False,False
5.0499997,84.95,1.2980599814904914,3.0370216596210327,0.00630043645428005,0.0122437350123989,0.0269074080908719,4,Light,False,False,False,False
5.0499997,85.049995,0.7967359104691478,2.723225396248416,0.0032123932423165,0.0032123932423165,0.0267746037515839,4,Light,False,False,False,False
5.0499997,85.15,0.5980922067809911,2.027172241167456,0.0032123932423165,0.0032123932423165,0.0071722411674559,4,Light,False,False,False,False
5.0499997,85.25,0.1486225857248532,0.2017897187650002,0.0032123932423165,0.0032123932423165,0.0117897187650002,4,No/Very Light,False,False,False,False
5.0499997,85.35,0.1914268052135154,0.2638364725859259,0.0048558928890911745,0.0097863918294152,0.0040882501811905,4,No/Very Light,False,False,False,False
5.0499997,85.45,0.17324953263760254,0.2529700093588625,0.0040303297502529995,0.0064841392740625,0.0050950779250002,4,No/Very Light,False,False,False,False
5.0499997,85.549995,0.1957282718775424,0.199793603933056,0.0032123932423165,0.0032123932423165,0.0070891211843653,4,No/Very Light,False,False,False,False
5.0499997,85.65,0.25431120863104245,0.3481439382348155,0.005637055138914475,0.0096392947969624,0.0081439382348155,4,No/Very Light,False,False,False,False
5.0499997,85.75,0.726176707023357,2.036621057663492,0.0071126882449440995,0.0188135732528269,0.0266210576634917,4,Light,False,False,False,False
5.0499997,85.85,0.3180871022096894,0.4105223374683336,0.0048558928890911745,0.0097863918294152,0.0105223574683336,4,No/Very Light,False,False,False,False
5.0499997,85.95,0.4334978232833663,0.972101095503888,0.0048558928890911745,0.0097863918294152,0.0072411324252911,4,No/Very Light,False,False,False,False
5.0499997,86.049995,0.17020837840705194,0.2064247180677782,0.0032123932423165,0.0032123932423165,0.0064247280677782,4,No/Very Light,False,False,False,False
5.0499997,86.15,0.10619680374452792,0.1787302761252781,0.0032123932423165,0.0032123932423165,0.0087302761252781,4,No/Very Light,False,False,False,False
5.0499997,86.25,0.05709499960572227,0.1424122208211113,0.0032123932423165,0.0032123932423165,0.0041288888888888,4,No/Very Light,False,False,False,False
5.0499997,86.35,0.06764700125104704,0.1499999899999997,0.0032123932423165,0.0032123932423165,0.0037494464463333,4,No/Very Light,False,False,False,False
5.0499997,86.45,0.06992519771979933,0.1122361111011108,0.0032123932423165,0.0032123932423165,0.0052677775034442,4,No/Very Light,False,False,False,False
5.0499997,86.549995,0.047115274949218376,0.0799999999999994,0.0032123932423165,0.0032123932423165,0.0062194443177776,4,No/Very Light,False,False,False,False
5.0499997,86.65,0.03887027777777771,0.0600166666666666,0.0032123932423165,0.0032123932423165,0.0053744444444443,4,No/Very Light,False,False,False,False
5.0499997,86.75,0.018692221472222225,0.0499999970000001,0.0032123932423165,0.0032123932423165,0.0047688888888888,4,No/Very Light,False,False,False,False
5.0499997,86.85,0.018925020129670726,0.0499999970000001,0.0032123932423165,0.0032123932423165,0.0047688888888888,4,No/Very Light,False,False,False,False
5.0499997,86.95,0.01544807643522615,0.0399999999999997,0.0032123932423165,0.0032123932423165,0.000931194629794,4,No/Very Light,False,False,False,False
5.0499997,87.049995,0.012694654518326751,0.0499999970000001,0.0032123932423165,0.0032123932423165,0.0007786210733069,4,No/Very Light,False,False,False,False
5.0499997,87.15,0.012722797907448525,0.0499999970000001,0.0032123932423165,0.0032123932423165,0.000891194629794,4,No/Very Light,False,False,False,False
5.0499997,87.25,0.018201110361111075,0.0499999970000001,0.0032123932423165,0.0032123932423165,0.0026355555555554,4,No/Very Light,False,False,False,False
5.0499997,87.35,0.00774813492063485,0.0200366666666665,0.002409294931737375,0.0032123932423165,0.0009558730158729,4,No/Very Light,False,False,False,False
5.0499997,87.45,0.0002227986574485,0.000891194629794,0.002409294931737375,0.0032123932423165,0.000891194629794,4,No/Very Light,False,False,False,False
5.0499997,87.549995,0.040117637878472175,0.0659594444444444,0.002409294931737375,0.0032123932423165,0.0059594444444444,4,No/Very Light,False,False,False,False
5.0499997,87.65,0.0303307648819378,0.1000166606766668,0.002409294931737375,0.0032123932423165,0.0011119544066402,4,No/Very Light,False,False,False,False
5.0499997,87.75,0.030398591721667798,0.12,0.002409294931737375,0.0032123932423165,0.0015943668866712,4,No/Very Light,False,False,False,False
5.0499997,87.85,0.0,0.0,0.00160619662115825,0.0032123932423165,0.0,4,No/Very Light,False,False,False,False
5.0499997,87.95,0.0,0.0,0.00160619662115825,0.0032123932423165,0.0,4,No/Very Light,False,False,False,False
5.0499997,88.049995,0.0,0.0,0.00160619662115825,0.0032123932423165,0.0,4,No/Very Light,False,False,False,False
5.0499997,88.15,0.0,0.0,0.00160619662115825,0.0032123932423165,0.0,4,No/Very Light,False,False,False,False
5.0499997,88.25,0.0,0.0,0.000803098310579125,0.0032123932423165,0.0,4,No/Very Light,False,False,False,False
5.0499997,88.35,0.0,0.0,0.000803098310579125,0.0032123932423165,0.0,4,No/Very Light,False,False,False,False
5.0499997,88.45,0.000470858261915125,0.0018834330476605,0.000803098310579125,0.0032123932423165,0.0018834330476605,4,No/Very Light,False,False,False,False
5.0499997,88.549995,7.77777761111e-05,0.0003111111044444,0.0,0.0,0.0003111111044444,4,No/Very Light,False,False,False,False
5.0499997,88.65,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,88.75,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,88.85,0.015862499999999974,0.0600166666666666,0.0,0.0,0.0034333333333333,4,No/Very Light,False,False,False,False
5.0499997,88.95,0.10774191924000703,0.3011264983574604,0.000803098310579125,0.0032123932423165,0.0073789574047907,4,No/Very Light,False,False,False,False
5.0499997,89.049995,0.11037636290516593,0.2962322930666669,0.0,0.0,0.0062322930666669,4,No/Very Light,False,False,False,False
5.0499997,89.15,0.07424471498006975,0.2319561044711117,0.0,0.0,0.0050060887825007,4,No/Very Light,False,False,False,False
5.0499997,89.25,0.1366469781231251,0.2969683268522224,0.0,0.0,0.0030316531477775,4,No/Very Light,False,False,False,False
5.0499997,89.35,0.6860202990960318,2.5039895297174604,0.0008179365079365,0.003271746031746,0.0039895297174603,4,Light,False,False,False,False
5.0499997,89.45,0.05391646809702358,0.1651936501658725,0.0,0.0,0.0048063498341275,4,No/Very Light,False,False,False,False
5.0499997,89.549995,0.06915041597361082,0.1599999999999989,0.0,0.0,0.0037422222021666,4,No/Very Light,False,False,False,False
5.0499997,89.65,0.003016666666666625,0.0099999999999999,0.0,0.0,0.0020666666666666,4,No/Very Light,False,False,False,False
5.0499997,89.75,0.0164600435352134,0.0600166666666666,0.0,0.0,0.0034333333333333,4,No/Very Light,False,False,False,False
5.0499997,89.85,0.03717352519680555,0.0837361095511107,0.0,0.0,0.0037361095511107,4,No/Very Light,False,False,False,False
5.0499997,89.95,0.058561729066146,0.1400000000000004,0.0,0.0,0.002373507474187,4,No/Very Light,False,False,False,False
5.0499997,90.049995,0.09191687464224996,0.2501833333333333,0.0008179365079365,0.003271746031746,0.0073752763467777,4,No/Very Light,False,False,False,False
5.0499997,90.15,0.07848792712571423,0.1504364744116665,0.0,0.0,0.0033563512023016,4,No/Very Light,False,False,False,False
5.0499997,90.25,0.000226965324115175,0.0009078612964607,0.0,0.0,0.0009078612964607,4,No/Very Light,False,False,False,False
5.0499997,90.35,0.0002946647962447,0.0011786591849788,0.0,0.0,0.0011786591849788,4,No/Very Light,False,False,False,False
5.0499997,90.45,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,90.549995,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,90.65,0.04598811790514842,0.1799999899999993,0.0,0.0,0.0039524816205944,4,No/Very Light,False,False,False,False
5.0499997,90.75,0.22167701584316765,0.8226553940181736,0.000803098310579125,0.0032123932423165,0.0096748945767193,4,No/Very Light,False,False,False,False
5.0499997,90.85,0.3150741001870171,1.1884954894718252,0.000774980448775775,0.0030999217951031,0.0083398001651322,4,Light,False,False,False,False
5.0499997,90.95,0.35993928914141304,1.256149439384655,0.000774980448775775,0.0030999217951031,0.0235577171809982,4,Light,False,False,False,False
5.0499997,91.049995,0.1576185467689947,0.3143802377919236,0.0,0.0,0.0060939492840539,4,No/Very Light,False,False,False,False
5.0499997,91.15,0.020561385838299976,0.0799999999999994,0.0,0.0,0.0022455433532005,4,No/Very Light,False,False,False,False
5.0499997,91.25,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,91.35,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,91.45,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,91.549995,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,91.65,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,91.75,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,91.85,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.0499997,91.95,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.15,78.049995,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.15,78.15,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.15,78.25,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.15,78.35,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.15,78.45,0.040803662439613246,0.1599999999999989,0.0,0.0,0.0032146497584541,4,No/Very Light,False,False,False,False
5.15,78.549995,0.06641676411534912,0.165623729102063,0.0,0.0,0.005623729102063,4,No/Very Light,False,False,False,False
5.15,78.65,0.0325041666666667,0.1300166666666668,0.0,0.0,1.666666666685912e-05,4,No/Very Light,False,False,False,False
5.15,78.75,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.15,78.85,0.0,0.0,0.0,0.0,0.0,4,No/Very Light,False,False,False,False
5.15,78.95,0.00316111111111105,0.0099999999999999,0.0,0.0,0.0025166666666666,4,No/Very Light,False,False,False,False
5.15,79.049995,0.04397815790496683,0.0899999959999996,0.0,0.0,0.0033079705184964,4,No/Very Light,False,False,False,False
5.15,79.15,0.07481607654107049,0.1700222222222233,0.0,0.0,0.0069821714343939,4,No/Very Light,False,False,False,False
5.15,79.25,0.0889440986519643,0.229999990000001,0.0,0.0,0.0036477772316666,4,No/Very Light,False,False,False,False
5.15,79.35,0.15206503053853973,0.4249012355512699,0.0,0.0,0.0049012355512699,4,No/Very Light,False,False,False,False
5.15,79.45,0.23027804458577328,0.6872050378955415,0.0,0.0,0.0028776983826984,4,No/Very Light,False,False,False,False
5.15,79.549995,0.22529324268896672,0.6628709119080028,0.0,0.0,0.0055296030616029,4,No/Very Light,False,False,False,False
5.15,79.65,0.224429702175296,0.5896776526782544,0.0,0.0,0.0096776526782544,4,No/Very Light,False,False,False,False
5.15,79.75,0.32987374540486236,0.5578141066743921,0.00160672538866145,0.0064269015546458,0.0178141466743921,4,No/Very Light,False,False,False,False
5.15,79.85,0.34841242902395153,0.6316617499620539,0.000774980448775775,0.0030999217951031,0.0116617499620539,4,No/Very Light,False,False,False,False
5.15,79.95,0.27026755151657333,0.5808243251746049,0.0,0.0,0.0105342108548571,4,No/Very Light,False,False,False,False
5.15,80.049995,0.23860270723948632,0.5469599522047619,0.00158466816284275,0.006338672651371,0.0070234349571507,4,No/Very Light,False,False,False,False
5.15,80.15,0.2562526414394749,0.9394220263511538,0.0015929169567122752,0.003271746031746,0.0094220263511537,4,No/Very Light,False,False,False,False
5.15,80.25,0.2904908469944789,0.5834053407931218,0.00078878888072495,0.0031551555228998,0.0048167773811907,4,No/Very Light,False,False,False,False
5.15,80.35,0.44671737814550877,0.7212974871876983,0.000803098310579125,0.0032123932423165,0.0151868822796279,4,No/Very Light,False,False,False,False
5.15,80.45,0.6015483035577707,0.86894638222513,0.0,0.0,0.0189464222251299,4,No/Very Light,False,False,False,False
5.15,80.549995,0.6115633935204369,1.4121448779924604,0.0,0.0,0.0321448779924604,4,Light,False,False,False,False
5.15,80.65,0.7973156128851508,2.2803875766122097,0.0008179365079365,0.003271746031746,0.0503875766122097,4,Light,False,False,False,False
5.15,80.75,0.6997070543872685,1.7574129927023463,0.000803098310579125,0.0032123932423165,0.008044775351764,4,Light,False,False,False,False
5.15,80.85,0.6275265168582278,1.7429732940005302,0.0,0.0,0.0229733940005303,4,Light,False,False,False,False
5.15,80.95,0.5595665578442605,1.8043458235351888,0.000810449498285675,0.0032417979931427,0.0056541764648105,4,Light,False,False,False,False
5.15,81.049995,0.5213985488633383,1.8647083673296307,0.0,0.0,0.0152916326703691,4,Light,False,False,False,False
5.15,81.15,0.22665603847289295,0.5585553461174607,0.0008179365079365,0.003271746031746,0.0077426973152218,4,No/Very Light,False,False,False,False
